"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.krilivye.jocco","src/net/krilivye/jocco/DocumentationModel.java","3","8","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"2","net.krilivye.jocco","src/net/krilivye/jocco/DocumentationModel.java","3","14","Parameter 'listOfFileModel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"3","net.krilivye.jocco","src/net/krilivye/jocco/DocumentationModel.java","3","19","Parameter 'file' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"4","net.krilivye.jocco","src/net/krilivye/jocco/DocumentationModel.java","3","24","Parameter 'file' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"5","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","27","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"7","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","47","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"8","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","59","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"9","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","97","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"10","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","97","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"11","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","102","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"12","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","135","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"13","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","5","143","Found 'DD'-anomaly for variable 'hascode' (lines '143'-'159').","Controversial Rules","DataflowAnomalyAnalysis"
"14","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","5","143","Found 'DU'-anomaly for variable 'hascode' (lines '143'-'165').","Controversial Rules","DataflowAnomalyAnalysis"
"15","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","149","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"16","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","5","149","Found 'DU'-anomaly for variable 'line' (lines '149'-'165').","Controversial Rules","DataflowAnomalyAnalysis"
"17","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","5","153","Found 'DD'-anomaly for variable 'hascode' (lines '153'-'159').","Controversial Rules","DataflowAnomalyAnalysis"
"18","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","5","153","Found 'DU'-anomaly for variable 'hascode' (lines '153'-'165').","Controversial Rules","DataflowAnomalyAnalysis"
"19","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","154","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"20","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","3","155","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"21","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","5","159","Found 'DD'-anomaly for variable 'hascode' (lines '159'-'159').","Controversial Rules","DataflowAnomalyAnalysis"
"22","net.krilivye.jocco","src/net/krilivye/jocco/Jocco.java","5","159","Found 'DU'-anomaly for variable 'hascode' (lines '159'-'165').","Controversial Rules","DataflowAnomalyAnalysis"
"23","net.krilivye.jocco","src/net/krilivye/jocco/Messages.java","3","28","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"24","net.krilivye.jocco","src/net/krilivye/jocco/Program.java","3","8","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"25","net.krilivye.jocco","src/net/krilivye/jocco/Program.java","3","35","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"26","net.krilivye.jocco","src/net/krilivye/jocco/Program.java","3","36","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"27","net.krilivye.jocco","src/net/krilivye/jocco/Template.java","3","32","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"28","net.krilivye.jocco","test/net/krilivye/jocco/JoccoTest.java","5","77","Found 'DD'-anomaly for variable 'execute' (lines '77'-'79').","Controversial Rules","DataflowAnomalyAnalysis"
"29","net.krilivye.jocco","test/net/krilivye/jocco/JoccoTest.java","3","82","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
